Id,Title,Artist,Album,AlbumImg,rTime
1t2qYCAjUAoGfeFeoBlK51,Black Mamba,aespa,Black Mamba,https://i.scdn.co/image/ab67616d0000b2736f248f7695eb544a3a1955c5,174933
0yB4jrSwN0bFtFRDR5vyMj,Love Shot,EXO,LOVE SHOT– The 5th Album Repackage,https://i.scdn.co/image/ab67616d0000b273f7da7c0f322b7a1c95190d92,200306
7pm5uhK7xiEM9fQvuCE78l,심쿵해 (HEART ATTACK),AOA,Heart Attack,https://i.scdn.co/image/ab67616d0000b2733bab219d2c91bbfc6fe6fec9,196522
05G51ez5Z73NRE0l2QtZfH,단발머리 (SHORT HAIR),AOA,단발머리,https://i.scdn.co/image/ab67616d0000b2733f5721ce0a6f6c072a2969e6,214588
548FKDwnyPFkfWmtoK6ETA,사뿐사뿐,AOA,사뿐사뿐,https://i.scdn.co/image/ab67616d0000b273f95a5985be3ec564ae6aaa05,219533
6Yj8kVuVR3UPxx9r5eFEoV,짧은 치마 (MINISKIRT),AOA,짧은 치마,https://i.scdn.co/image/ab67616d0000b27336adcea4e93245f1fec547df,179808
5eWcGfUCrVFMoYskyfkEPE,Armageddon,aespa,Armageddon - The 1st Album,https://i.scdn.co/image/ab67616d0000b2730fc598038040859794c600e2,196466
1exnDFdC34GyBcaLt9ZJfX,벌써 12시,청하,벌써 12시,https://i.scdn.co/image/ab67616d0000b27325767b4fe7a3b04df1096b49,221813
42tFTth2jcF7iSo0RBjfJF,피카부 (Peek-A-Boo),Red Velvet,Perfect Velvet - The 2nd Album,https://i.scdn.co/image/ab67616d0000b2736538b8e1b5c7b2a9d2211769,189049
4ljXOIFNSjnGA2VuCYHQTS,살짝 설렜어 (Nonstop),오마이걸,NONSTOP,https://i.scdn.co/image/ab67616d0000b273774ede43eb295a97a6f8bf94,202760
7nKQ5WAcjnG48knyLuo8gO,빨간 맛 (Red Flavor),Red Velvet,The Red Summer - Summer Mini Album,https://i.scdn.co/image/ab67616d0000b2738164cd1a2e03b7ca2db9ff5e,191139
